,fileid,age,mlu,utterance
879,Sachs/n76.xml,35,[4.510273972602739], twelve thirteen sixteen eighteen nineteen thirteen 
880,Sachs/n76.xml,35,[4.510273972602739], eighteen nineteen fourteen 
881,Sachs/n76.xml,35,[4.510273972602739], i said six seven eight nine ten eleven 
882,Sachs/n77.xml,35,[5.088983050847458], these one two three four five six seven eight nine ten eleven     
883,Sachs/n77.xml,35,[5.088983050847458], one two three four five six seven eight nine ten eight nine ten eleven 
884,Sachs/n83.xml,40,[5.208029197080292], one two three four five six seven eight nine ten eleven twelve thirteen sixteen eighteen nineteen 
885,Sachs/n83.xml,40,[5.208029197080292], see one two three four five six seven eight nine ten eleven twelve fourteen sixteen 
886,Sachs/n83.xml,40,[5.208029197080292], eleven eleven twelve 
887,Sachs/n83.xml,40,[5.208029197080292], eleven twelve thirteen 
888,Snow/790203b.xml,30,[3.13458262350937], thirteen 
889,Snow/790310ax.xml,31,[3.6357388316151202], eleven 
890,Snow/790310ax.xml,31,[3.6357388316151202], twelve 
891,Snow/790310ax.xml,31,[3.6357388316151202], thirteen 
892,Snow/790420b.xml,34,[3.9107142857142856], her go fifteen miles eh erie a canal 
893,Snow/790505dx.xml,33,[3.9507772020725387], fifteen eh miles eh de don 
894,Snow/791224bx.xml,40,[3.8666666666666667], r b ten eleven 
895,Snow/791225a.xml,40,[4.505050505050505], one t one two three four five eleven         nineteen eleventeen 
896,Snow/791226a.xml,40,[3.930622009569378], i i i no more r b ten eleven eleven 
897,Snow/791226a.xml,40,[3.930622009569378], eleven 
898,Snow/791226a.xml,40,[3.930622009569378], twelve 
899,Snow/791226a.xml,40,[3.930622009569378], thirteen 
900,Snow/791226a.xml,40,[3.930622009569378], fourteen seventeen 
901,Snow/791226a.xml,40,[3.930622009569378], fifteen nine 
902,Snow/791226a.xml,40,[3.930622009569378], sixteen 
903,Snow/791226a.xml,40,[3.930622009569378], eighteen 
904,Snow/791226a.xml,40,[3.930622009569378], nineteen twenty 
905,Snow/791226a.xml,40,[3.930622009569378], one two three five six seven eight nine ten eleven 
906,Suppes/nina35.xml,34,[5.009328358208955], one two five six seven eight nine ten for eleven and twelve 
907,Valian/04a.xml,22,[2.5628415300546448], two three thour four five six seven eight nine ten eleven 
908,Valian/18a.xml,29,[4.727748691099476], one two three four five six seven eight nine ten eleven twelve thirteen eighteen nineteen seventeen eighteen 
909,Valian/18a.xml,29,[4.727748691099476], one two three four five six seven eight nine ten eleven twelve thirteen fourteen fifteen sixteen seventeen eighteen nineteen twenty 
910,VanHouten/Threes/teaching/cherryt.xml,40,[4.619047619047619], one two three four five six seven eight nine ten eleven twelve 
911,VanHouten/Threes/teaching/marsht.xml,40,[4.16], twelve 
912,VanKleeck/jenny2.xml,37,[3.4339622641509435], eleven 
913,VanKleeck/jenny2.xml,37,[3.4339622641509435], twelve 
914,VanKleeck/jenny2.xml,37,[3.4339622641509435], fourteen 
915,VanKleeck/jenny2.xml,37,[3.4339622641509435], sixteen 
916,VanKleeck/jenny2.xml,37,[3.4339622641509435], eighteen 
917,VanKleeck/rachel1.xml,44,[5.661764705882353], four five zero nine eight 
918,Warren/bill.xml,74,[5.668393782383419], eleven 
919,Warren/bill.xml,74,[5.668393782383419], thirteen 
920,Warren/bill.xml,74,[5.668393782383419], fourteen 
921,Warren/bill.xml,74,[5.668393782383419], fifteen 
922,Warren/bill.xml,74,[5.668393782383419], i have seventeen 
923,Warren/bill.xml,74,[5.668393782383419], nineteen 
924,Warren/bill.xml,74,[5.668393782383419], okay seventeen 
925,Warren/gina.xml,37,[4.235714285714286], well where is number sixteen 
926,Warren/gina.xml,37,[4.235714285714286], where fifteen 
927,Warren/gina.xml,37,[4.235714285714286], where twelve 
928,Warren/jmarkey.xml,63,[6.185185185185185], eleven twelve 
929,Warren/jmarkey.xml,63,[6.185185185185185], twelve fourteen fifteen sixteen seventeen eighteen nineteen twenty 
930,Warren/jmarkey.xml,63,[6.185185185185185], one two three four five six seven eight nine ten eleven twelve thirteen fourteen fifteen sixteen seventeen eighteen nineteen twenty twenty one twenty two twenty three twenty four twenty five twenty six 
931,Warren/jmarkey.xml,63,[6.185185185185185], one two three four five six seven eight nine ten eleven twelve thirteen fourteen fifteen sixteen 
932,Warren/john.xml,69,[8.4921875], that s not very hard twelve 
933,Warren/john.xml,69,[8.4921875], fifteen 
934,Warren/john.xml,69,[8.4921875], fifteen 
